M,K,C,h,accfile
15680,31980000,1.20E+06,0.05,BASE.csv
31360,31980000,,,
31360,31980000,,,
31360,31980000,,,
31360,31980000,,,
31360,31980000,,,
31360,31980000,,,
31360,31980000,,,
31360,31980000,,,
31360,31980000,,,
35280,359800000,,,
39200,359800000,,,
39200,359800000,,,
39200,359800000,,,
39200,359800000,,,
39200,359800000,,,
39200,359800000,,,
39200,359800000,,,
39200,359800000,,,
39200,359800000,,,
39200,359800000,,,
39200,359800000,,,
39200,359800000,,,
39200,359800000,,,
39200,359800000,,,
39200,359800000,,,
39200,359800000,,,
39200,359800000,,,
39200,359800000,,,
39200,359800000,,,
39200,359800000,,,
39200,359800000,,,
39200,359800000,,,
39200,359800000,,,
39200,359800000,,,
39200,359800000,,,
39200,359800000,,,
39200,359800000,,,
39200,359800000,,,
39200,359800000,,,
39200,359800000,,,
39200,359800000,,,
39200,359800000,,,
39200,359800000,,,
39200,359800000,,,
39200,359800000,,,
39200,359800000,,,
39200,359800000,,,
39200,359800000,,,
39200,359800000,,,
39200,359800000,,,
39200,359800000,,,
39200,359800000,,,
39200,359800000,,,
39200,359800000,,,
39200,359800000,,,
39200,359800000,,,
39200,359800000,,,
39200,359800000,,,
39200,359800000,,,
19600,,,,
